Key,Type,Desc,English,French,Spanish,German,Russian,Italian,Chinese Simplified,Japanese,Korean,Brazilian Portuguese,Turkish,Thai,Indonesian,Polish,Ukrainian,Arabic,Portuguese,Lithuanian
SKINS/GingerbreadTutu,Text,,Gingerbread Tutu,Tutu pain d'épice,Tutú de pan de jengibre,Lebkuchentutu,Пряничная балетная пачка,Tutù pan di zenzero,姜饼蓬蓬裙,ジンジャーブレッド,진저브레드 튀튀,Tutu de bolacha,Zencefilli Çörek Tütüsü,กระโปรงบัลเลต์ขนมปังขิง,Tutu Roti Jahe,Piernikowa spódniczka,Прянична балетна пачка,,Tutu de pão de gengibre,Meduolių Suknelė
SKINS/CandyLeggings,Text,,Candy Leggings,Leggings bonbons,Leggings de caramelo,Zuckerleggings,Конфетные лосины,Leggings dolci,糖果紧身裤,エルフ,캔디 레깅스,Perneiras de doces,Şeker Taytı,เลกกิ้งลูกกวาด,Legging Permen,Cukierkowe legginsy,Цукеркові лосини,,Leggings de rebuçado,Saldaininės tamprės
SKINS/Present,Text,,Present,Cadeau,Regalo,Geschenk,Подарок,Regalo,礼品包装纸,プレゼント,선물,Presente,Sun,ของขวัญ,Hadiah,Prezent,Подарунок,,Presente,Dovana
SKINS/PigHat,Text,,Pig Hat,Chapeau de cochon,Sombrero de cerdito,Schweinchen-Hut,Шляпа поросенка,Cappello da maiale,猪猪帽,スリーピッグ,돼지 모자,Chapéu de porco,Domuz Şapkası,หมวกหมู,Topi Babi,Kapelusz świnki,Капелюх Наф-Нафа,,Chapéu de Porco,Paršiuko kepurė
SKINS/PigJacket,Text,,Pig Jacket,Veste de cochon,Chaqueta de cerdito,Schweinchen-Jacke,Жилет поросенка,Giacca da maiale,猪猪夹克,スリーピッグ,돼지 재킷,Jaqueta de porco,Domuz Ceketi,แจ็กเก็ตหมู,Jaket Babi,Kurtka świnki,Жилет Ніф-Ніфа,,Casaco de Porco,Paršiuko striukė
SKINS/PigPants,Text,,Pig Pants,Pantalon de cochon,Pantalones de cerdito,Schweinchen-Hose,Штаны поросенка,Pantaloni da maiale,猪猪裤,スリーピッグ,돼지 바지,Calças de porco,Domuz Pantolonu,กางเกงหมู,Celana Babi,Spodnie świnki,Штани Нуф-Нуфа,,Calças de Porco,Paršiuko kelnės
SKINS/BobHat,Text,,Hiker Hat,Chapeau de randonneur,Sombrero de montañero,Wanderer-Hut,Шляпа туриста,Cappello da escursionista,登山帽,ハイカー,하이커 모자,Chapéu de trilha,Yürüyüşçü Şapkası,หมวกนักเดินป่า,Topi Pendaki,Kapelusz wędrowca,Капелюх туриста,,Chapéu de Andarilho,Žygeivio kepurė
SKINS/HikerJacket,Text,,Hiker Jacket,Veste de randonneur,Chaqueta de montañero,Wanderer-Jacke,Куртка туриста,Giacca da escursionista,登山夹克,ハイカー,하이커 재킷,Jaqueta de trilha,Yürüyüşçü Ceketi,แจ็กเก็ตนักเดินป่า,Jaket Pendaki,Kurtka wędrowca,Куртка туриста,,Casaco de Andarilho,Žygeivio striukė
SKINS/HikerShorts,Text,,Hiker Shorts,Short de randonneur,Bermudas de montañero,Wanderer-Hose,Шорты туриста,Pantaloncini da escursionista,登山短裤,ハイカー,하이커 반바지,Bermuda de trilha,Yürüyüşçü Şortu,กางเกงนักเดินป่า,Celana Pendek Pendaki,Szorty wędrowca,Шорти туриста,,Shorts de Andarilho,Žygeivio šortai
SKINS/ClownHat,Text,,Clown Hat,Chapeau de clown,Sombrero de payaso,Clown-Hut,Шляпа клоуна,Cappello da pagliaccio,小丑帽,ピエロ,광대 모자,Chapéu de palhaço,Palyaço Şapkası,หมวกตัวตลก,Topi Badut,Kapelusz klauna,Капелюх клоуна,,Chapéu de Palhaço,Klauno kepurė
SKINS/ClownSuit,Text,,Clown Suit,Costume de clown,Traje de payaso,Clown-Anzug,Костюм клоуна,Tuta da pagliaccio,小丑套装,ピエロ,광대 옷,Roupa de palhaço,Palyaço Kostümü,ชุดตัวตลก,Baju Badut,Strój klauna,Костюм клоуна,,Roupa de Palhaço,Klauno kostiumas
SKINS/BullPants,Text,,Bull Pants,Pantalon de taureau,Pantalones de toro,Stier-Hose,Штаны с быком,Pantaloni da toro,骑行裤,ロデオ,황소 바지,Calças de touro,Boğa Pantolonu,กางเกงวัวกระทิง,Celana Banteng,Spodnie byka,Штани клоуна,,Calças de Touro,Bulio kelnės
SKINS/CowboyHat,Text,,Cowboy Hat,Chapeau de cow-boy,Sombrero de vaquero,Cowboy-Hut,Шляпа ковбоя,Cappello da cowboy,牛仔帽,カウボーイ,카우보이 모자,Chapéu de caubói,Kovboy Şapkası,หมวกคาวบอย,Topi Cowboy,Kapelusz kowboja,Капелюх ковбоя,,Chapéu de Cowboy,Kaubojaus kepurė
SKINS/CowboySuit,Text,,Cowboy Suit,Costume de cow-boy,Traje de vaquero,Cowboy-Anzug,Костюм ковбоя,Tuta da cowboy,牛仔套装,カウボーイ,카우보이 옷,Roupa de caubói,Kovboy Kostümü,ชุดคาวบอย,Baju Cowboy,Strój kowboja,Костюм ковбоя,,Roupa de Cowboy,Kaubojaus kostiumas
SKINS/HorsePants,Text,,Horse Pants,Pantalon de cheval,Pantalones de caballo,Pferde-Hose,Штаны с лошадью,Pantaloni da cavallo,马裤,カウボーイ,말 바지,Calças de cavalo,At Pantolonu,กางเกงม้า,Celana Kuda,Spodnie konia,Штани ковбоя,,Calças de Cavalo,Žirgo Kelnės
SKINS/EasterBonnet,Text,,Easter Bonnet,Bonnet de Pâques,Boina de Pascua,Ostermütze,Нарядная шляпа,Easter Bonnet,复活节帽子,イースターボネット,부활절 보닛,Boina de Páscoa,Paskalya Başlığı,หมวกอีสเตอร์,Bonnet Paskah,Wielkanocny czepek,Ошатний капелюх,,Chapéu de Páscoa,Velykinė skrybelaitė
SKINS/BunnyHat,Text,,Bunny Hat,Chapeau de lapin,Sombrero de conejo,Hasenhut,Шапка зайца,Cappello da coniglio,兔耳帽,バニーハット,토끼 모자,Chapéu de coelho,Tavşan Şapkası,หมวกหูกระต่าย,Topi Kelinci,Czapka zajączka,Шапка зайця,,Chapéu de coelho,Kiškio kepurė
SKINS/BunnySuit,Text,,Bunny Suit,Costume de lapin,Traje de conejo,Hasenkostüm,Костюм зайца,Tuta da coniglio,兔子服,バニースーツ,토끼 슈트,Roupa de Coelho,Tavşan Kostümü,ชุดกระต่าย,Baju Kelinci,Strój zajączka,Костюм зайця,,Fato de coelho,Kiškio kostiumas
SKINS/ChefHat,Text,,Chef Hat,Toque de cuisinier,Sombrero de chef,Kochmütze,Колпак повара,Cappello da chef,厨师帽,シェフの帽子,쉐프 모자,Chapéu de Chef,Aşçı Şapkası,หมวกเชฟ,Topi Chef,Czapka kucharza,Ковпак кухаря,,Chaféu de Chef,Virėjo kepurė
SKINS/ChefJacket,Text,,Chef Jacket,Veste de cuisinier,Chaqueta de chef,Kochjacke,Куртка повара,Giacca da chef,厨师服,シェフのジャケット,쉐프 재킷,Jaqueta de Chef,Aşçı Ceketi,เสื้อเชฟ,Jaket Chef,Bluza kucharza,Куртка кухаря,,Casaco de Chef,Virėjo švarkas
SKINS/ChefPants,Text,,Chef Pants,Pantalon de cuisinier,Pantalones de chef,Kochhose,Штаны повара,Pantaloni da chef,厨师裤,シェフのパンツ,쉐프 바지,Calças de Chef,Aşçı Pantolonu,กางเกงเชฟ,Celana Chef,Spodnie kucharza,Штани кухаря,,Calças de Chef,Virėjo kelnės
SKINS/EngineerPants,Text,,Engineer Hat ,Chapeau d'ingénieur ,Sombrero de ingeniero ,Technikerhut ,Головной убор инженера ,Cappello da ingegnere ,工程师帽 ,エンジニアの帽子 ,엔지니어 모자,Chapéu de engenheiro ,Mühendis Şapkası ,หมวกวิศวกร ,Helm Proyek ,Czapka inżyniera ,Капелюх інженера ,,Chapéu de Maquinista ,Inžinieriaus kepurė 
SKINS/EngineerSuit,Text,,Engineer Suit,Uniforme d'ingénieur,Traje de ingeniero,Technikeranzug,Костюм инженера,Tuta da ingegnere,工程套装,エンジニアのスーツ,엔지니어 작업복,Roupa de engenheiro,Mühendis Kıyafeti,ชุดวิศวกร,Pakaian Proyek,Kombinezon inżyniera,Костюм інженера,,Fato de Maquinista,Inžinieriaus kostiumas
SKINS/SkydivingHelmet,Text,,Skydiving Helmet,Casque de parachutisme,Casco de paracaidismo,Fallschirmspringerhelm,Шлем парашютиста,Casco da paracadutista,跳伞头盔,スカイダイビングのヘルメット,스카이다이빙 헬멧,Capacete de salto-livre,Hava Dalışı Başlığı,หมวกกระโดดร่ม,Helm Skydiving,Kask spadochroniarza,Шолом для скайдайвінгу,,Capacete de Skydiving,Parašiutininko šalmas
SKINS/Jumpsuit,Text,,Jumpsuit,Combinaison de parachutisme,Mono,Overall,Костюм парашютиста,Tuta da paracadutista,连身裤,ジャンプスーツ,점프 슈트,Macacão,Tulum,ชุดหมี,Jumpsuit,Kombinezon,Комбінезон,,Fato-macaco,Kombinezonas
XTRA/ChangeProfile,Text,,Change Profile,Changer de profil,Cambiar perfil,Profil ändern,Изменение профиля,Cambia profilo,修改个人资料,プロフィール変更,프로필 변경,Alterar perfil,Profili Değiştir,เปลี่ยนโปรไฟล์,Ubah Profil,Zmień profil,Змінити профіль,تغيير ملف التعريف,Mudar o perfil,Keisti profilį
XTRA/ChangeProfile_Short,Text,,Profile,Profil,Perfil,Profil,Профиль,Profilo,个人资料,プロフィール,프로필,Perfil,Profil,โปรไฟล์,Profil,Profil,Профіль,ملف التعريف,Perfil,Profilis
XTRA/Left Hand Grab,Text,,: Left Hand Grab,: Prise main gauche,: Coger con mano izquierda,: Linke Hand greifen,: взять левой рукой,: presa mano sinistra,: 左手持,: 左手でつかむ,: 왼손잡이,: Agarrar com mão esquerda,: Sol Elle Yakala,: หยิบด้วยมือซ้าย,: Raihan Tangan Kiri,: Chwyt lewą ręką,: Схопити лівою рукою,امسك في اليد اليسرى,: Agarrar com a mão esquerda,: Sugriebimas kairiąja ranka
XTRA/Move,Text,,Move: Tilt Joy-Con,Se déplacer : Penchez le Joy-Con,Desplazarse: Inclinar Joy-Con,Bewegen: Joy-Con neigen,Движение: наклонить Joy-Con,Muovi: inclina Joy-Con,移动：倾斜手柄,移動：Joy-Conを傾ける,이동: 조이콘 기울이기,Mover: inclinar Joy-Con,Hareket etme: Joy-Con'u Eğ,เคลื่อนที่: เอียง Joy-Con,Gerakkan: Miringkan Joy-Con,Rusz: Przechyl Joy-Con,Рух: нахиліть Joy-Con,نقل: إمالة يد التحكم Joy-Con,Movimento: Inclina o Joy-Con,Judėjimas: pakreipk „Joy-Con“ valdiklį
XTRA/Reset,Text,,Reset View,Réinitialiser la vue,Restablecer vista,Ansicht zurücksetzen,Перезагрузка вида,Reimposta visuale,重设视角,視点リセット,시점 재설정,Resetar visão,Görünümü Sıfırla,รีเซ็ตมุมมอง,Set Ulang Tampilan,Resetuj widok,Скинути огляд,إعادة تعيين طريقة العرض,Reiniciar a vista,Atkurti vaizdą
XTRA/Right Hand Grab,Text,,: Right Hand Grab,: Prise main droite,: Coger con mano derecha,: Rechte Hand greifen,: взять правой рукой,: presa mano destra,: 右手持,: 右手でつかむ,: 오른손잡이,: Agarrar com mão direita,: Sağ Elle Yakala,: หยิบด้วยมือขวา,: Raihan Tangan Kanan,: Chwyt prawą ręką,: Схопити правою рукою,امسك في اليد اليمنى,: Agarrar com a mão direita,: Sugriebimas dešiniąja ranka
XTRA/Look,Text,,Look: Tilt Joy-Con,Regarder : Penchez le Joy-Con,Mirar: Inclinar Joy-Con,Umsehen: Joy-Con neigen,Просмотр: наклонить Joy-Con,Guarda: inclina Joy-Con,看：倾斜手柄,見る：Joy-Conを傾ける,보기: 조이콘 기울이기,Olhar: inclinar Joy-Con,Bakma: Joy-Con'u Eğ,มองดู: เอียง Joy-Con,Lihat: Miringkan Joy-Con,Patrz: Przechyl Joy-Con,Огляд: нахиліть Joy-Con,النظرة: إمالة يد التحكم Joy-Con,Olhar: Inclina o Joy-Con,Žiūrėjimas: pakreipk „Joy-Con“ valdiklį
XTRA/Tilt,Text,,Tilt Joy-Con,Penchez le Joy-Con,Inclinar Joy-Con,Joy-Con neigen,Наклонить Joy-Con,Inclina Joy-Con,倾斜手柄,Joy-Conを傾ける,조이콘 기울이기,inclinar Joy-Con,Joy-Con'u Eğ,เอียง Joy-Con,Miringkan Joy-Con,Przechyl Joy-Con,нахиліть Joy-Con,,Inclina o Joy-Con,pakreipk „Joy-Con“ valdiklį
XTRA/XboxControllerMessage,Text,,"Controller disconnected.
To retry, please connect any controller
and sign into the previous profile,
or select menu to return to the main menu
and lose any unsaved progress.","Manette déconnectée.
Pour réessayer, veuillez connecter n'importe quelle manette
et vous connecter au profil précédent,
ou bien sélectionnez Menu pour revenir au menu principal
et perdre toute progression non sauvegardée.","Mando desconectado.
Para intentarlo de nuevo, vuelve a conectar el mando
e inicia la sesión en el perfil anterior,
o bien selecciona el menú para volver al menú principal
y perder todo el progreso que no se haya guardado.","Controllerverbindung unterbrochen.
Schließe für einen neuen Versuch einen Controller an
und melde dich beim vorherigen Profil an
oder kehre zum Hauptmenü zurück
und verliere ungespeicherten Fortschritt.","Контроллер отключен.
Для повторения попытки подключите контроллер
и войдите в предыдущий профиль,
или выберите «Меню» для возврата в главное меню
(при этом несохраненный прогресс будет потерян).","Controller scollegato.
Per riprovare, collega un controller
e accedi al profilo precedente,
oppure seleziona menu per tornare al menu principale
e perdere i progressi non salvati.","控制器已断开连接。
若要重试，请连接任何控制器
并登录到以前的配置文件，
或选择菜单返回到主菜单，
这样会丢失任何未保存的进度。","コントローラーが接続されていません。
再試行するには、コントローラーを接続して
使用していたプロフィールでサインインするか、
メニューを選択してメインメニューに戻ってください。
ただし、この場合はセーブされていない情報は破棄されます。","컨트롤러 연결이 해제되었습니다.
다시 시도하려면 컨트롤러를 연결하고
이전 프로필로 로그인하거나,
메뉴를 선택해 주 메뉴로 돌아가고
저장하지 않은 진행 데이터를 삭제하세요.","Controle desconectado.
Para repetir, conecte qualquer controle
e inicie sessão no perfil anterior,
ou selecione o menu para retornar ao menu principal
e soltar qualquer progresso não salvo.","Kumanda bağlantısı kesildi.
Tekrar denemek için lütfen herhangi bir kumandayı
bağlayıp bir önceki profilde oturum aç
veya ana menüye dönmek için menüyü seçerek
kaydedilmemiş ilerlemeyi kaybet.","คอนโทรลเลอร์ขาดการเชื่อมต่อ
หากต้องการลองใหม่ โปรดเชื่อมต่อคอนโทรลเลอร์
แล้วลงชื่อเข้าใช้โปรไฟล์ก่อนหน้า
หรือเลือก ""เมนู"" เพื่อกลับไปที่เมนูหลัก
และสูญเสียการเปลี่ยนแปลงทั้งหมดที่ไม่ได้บันทึก","Kontroler putus.
Untuk mencoba lagi, hubungkan kontroler 
dan login ke profil sebelumnya,
atau pilih menu untuk kembali ke menu utama 
dan kehilangan kemajuan yang tidak disimpan.","Odłączono kontroler.
Aby spróbować ponownie, podłącz dowolny kontroler
i zaloguj się za pomocą poprzedniego profilu
lub wybierz przycisk menu, by powrócić do głównego menu.
W takim przypadku utracisz wszelkie niezapisane postępy.","Контролер відключений.
Для повторення спроби підключіть контролер
й увійдіть до попереднього профілю,
або виберіть «Меню» для повернення в головне меню
(будь-який незбережений прогрес буде загублений).",,"Controlador desligado.
Para voltares a tentar, liga qualquer controlador
e inicia sessão com o perfil anterior,
ou seleciona um menu para voltares ao menu principal
e perderes qualquer progresso que não esteja guardado.","Valdiklis atjungtas.
Norėdami bandyti dar kartą, prijunkite bet kurį valdiklį
ir prisijunkite prie ankstesnio profilio paskyros
arba pasirinkite meniu, kad grįžtumėte į pagrindinį meniu,
tačiau neišsaugoti pakeitimai bus prarasti."
XTRA/XboxProfileMessage,Text,,"Profile status has changed.
Please sign into the previous profile
and select retry to continue,
or select menu to return to the main menu
and lose any unsaved progress","Le statut du profil a changé.
Veuillez vous connecter au profil précédent
 et sélectionner Réessayer pour continuer,
ou bien Menu pour revenir au menu principal
et perdre toute progression non sauvegardée.","El estado del perfil ha cambiado.
Inicia la sesión en el perfil anterior
y selecciona reintentar para continuar,
o bien selecciona el menú para volver al menú principal 
y perder todo el progreso que no se haya guardado.","Profilstatus geändert.
Melde dich zum Fortfahren beim vorherigen Profil an
und wähle „Neuer Versuch“
oder kehre zum Hauptmenü zurück
und verliere ungespeicherten Fortschritt.","Статус профиля изменился.
Войдите в предыдущий профиль
и выберите «Повторить», чтобы продолжить,
либо выберите «Меню» для возврата в главное меню
(при этом несохраненный прогресс будет потерян).","Lo status del profilo è cambiato.
Si prega di accedere al profilo precedente
e selezionare riprova per continuare,
oppure seleziona menu per tornare al menu principale
e perdere i progressi non salvati","配置文件状态已更改。
请登录到之前的配置文件，
并选择重试以继续，
或选择菜单返回到主菜单，
这样会丢失任何未保存的进度。","プロフィールのステータスが変更されました。
使用していたプロフィールでサインインして
再試行を選択して続けるか、
メニューを選択してメインメニューに戻ってください。
ただし、この場合はセーブされていない情報は破棄されます。","프로필 상태가 변경되었습니다.
이전 프로필로 로그인하고
재시도를 선택해 계속 진행하거나,
메뉴를 선택해 주 메뉴로 돌아가고
저장하지 않은 진행 데이터를 삭제하세요.","O status do perfil mudou.
Conecte-se ao perfil anterior
e selecione repetir para continuar,
ou selecione menu para retornar para o menu principal
e perder qualquer progresso não salvo","Profil durumu değişti.
Lütfen bir önceki profilde oturum aç
ve devam etmeyi tekrar denemeyi seç
veya ana menüye dönmek için menüyü seçerek
kaydedilmemiş ilerlemeyi kaybet","สถานะโปรไฟล์มีการเปลี่ยนแปลง
โปรดลงชื่อเข้าใช้โปรไฟล์ก่อนหน้า
แล้วเลือก ""ลองใหม่"" เพื่อดำเนินการต่อ
หรือเลือก ""เมนู"" เพื่อกลับไปที่เมนูหลัก
และสูญเสียการเปลี่ยนแปลงทั้งหมดที่ไม่ได้บันทึก","Status profil sudah berubah.
Silakan login ke profil sebelumnya,
atau pilih menu untuk kembali ke menu utama 
dan kehilangan kemajuan yang tidak disimpan","Zmieniono status profilu.
Aby kontynuować, zaloguj się za pomocą poprzedniego profilu
i wybierz opcję Ponów
lub wybierz przycisk menu, by powrócić do głównego menu.
W takim przypadku utracisz wszelkie niezapisane postępy.","Статус профілю змінився.
Увійдіть до попереднього профілю
й виберіть «Повторити» для продовження
або «Меню» для повернення в головне меню
(будь-який незбережений прогрес буде загублений).",,"O estado do perfil foi alterado.
Inicia sessão com o perfil anterior
e seleciona tentar novamente para continuar,
ou seleciona um menu para voltares ao menu principal
e perderes qualquer progresso que não esteja guardado.","Profilio būsena pasikeitė.
Prisijunkite prie ankstesnio profilio paskyros
ir bandykite dar kartą,
arba pasirinkite meniu, kad grįžtumėte į pagrindinį meniu,
tačiau neišsaugoti pakeitimai bus prarasti"
XTRA/POPUP_OK,Text,,{[CANCEL_BUTTON]} Menu,{[CANCEL_BUTTON]} Menu,{[CANCEL_BUTTON]} Menú,{[CANCEL_BUTTON]} Menü,{[CANCEL_BUTTON]} Меню,{[CANCEL_BUTTON]} Menu,{[CANCEL_BUTTON]}菜单,{[CANCEL_BUTTON]} メニュー,{[CANCEL_BUTTON]} 메뉴,{[CANCEL_BUTTON]} Menu,{[CANCEL_BUTTON]} Menü,{[CANCEL_BUTTON]} เมนู,{[CANCEL_BUTTON]} Menu,{[CANCEL_BUTTON]} Menu,{[CANCEL_BUTTON]} Меню,,{[CANCEL_BUTTON]} Menu,{[CANCEL_BUTTON]} Meniu
XTRA/POPUP_RETRY,Text,,{[ACCEPT_BUTTON]} Retry,{[ACCEPT_BUTTON]} Réessayer,{[ACCEPT_BUTTON]} Reintentar,{[ACCEPT_BUTTON]} Neuer Versuch,{[ACCEPT_BUTTON]} Повторить,{[ACCEPT_BUTTON]} Riprova,{[ACCEPT_BUTTON]}重试,{[ACCEPT_BUTTON]} 再試行,{[ACCEPT_BUTTON]} 재시도,{[ACCEPT_BUTTON]} Repetir,{[ACCEPT_BUTTON]} Tekrar Dene,{[ACCEPT_BUTTON]} ลองใหม่,{[ACCEPT_BUTTON]} Coba lagi,{[ACCEPT_BUTTON]} Ponów,{[ACCEPT_BUTTON]} Повторити,,{[ACCEPT_BUTTON]} Tentar novamente,{[ACCEPT_BUTTON]} Dar kartą
XTRA/PS4/SaveDetail,Text,,"Progress, preferences, skins","Progression, préférences, apparences","Progreso, preferencias, skins","Fortschritt, Präferenzen, Skins","Прогресс, предпочтения, скины","Progressi, preferenze, skin",进度、喜好、皮肤,ゲーム進行状況、オプション設定、スキンデータ,"진행 상황, 환경 설정, 스킨","Progresso, preferências, aparências","İlerleme, tercihler, ciltler",ความคืบหน้า การตั้งค่า สกิน,"Kemajuan, preferensi, skin","Postępy w grze, preferencje, skórki","Прогрес, налаштування, зовнішній вигляд",التقدم والتفضيلات والبشرات,"Progresso, preferências, visuais","Progresas, parinktys, odos pasirinkimai"
XTRA/PS4/SaveSubTitle,Text,,Save Data,Sauvegarder les données,Guardar datos,Daten speichern,Сохранить данные,Salva,保存数据,セーブデータ,저장 데이터,Salvar dados,Verileri Kaydet,ข้อมูลเซฟ,Data Simpanan,Zapisz dane,Зберегти дані,حفظ البيانات,Guardar dados,Įrašyti duomenis
XTRA/PS4/SaveTitle_NotJPN,Text,,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human
XTRA/PS4/SaveTitle_JPN,Text,,Human,Human,Human,Human,Human,Human,Human,ヒューマン フォール フラット,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human
XTRA/PS4/SaveGameWrongVersion,Text,,"The saved data is from a later version of this game and cannot be used safely. Either update the game to the latest version, or delete the existing save to create a new one.",Les données sauvegardées proviennent de la dernière version de ce jeu et ne peuvent donc pas être utilisées en toute sécurité. Installez la dernière version du jeu ou bien effacez la sauvegarde existante pour en créer une nouvelle.,El archivo guardado es de una versión posterior de este juego y no se puede usar con seguridad. Actualiza el juego a la versión más reciente o elimina los datos guardados existentes para crear unos nuevos.,Die Speicherdaten stammen aus einer anderen Spielversion und können nicht sicher verwendet werden. Bitte aktualisiere das Spiel auf die neueste Version oder lösche den gespeicherten Spielstand und erstelle ein neues Spiel.,"Сохраненные данные были созданы в более новой версии игры и не могут быть использованы. Обновите игру до последней версии или удалите существующее сохранение, чтобы создать новое.",Il salvataggio appartiene a una versione precedente del gioco e non può essere utilizzata in modo sicuro. Aggiorna il gioco all'ultima versione oppure elimina il salvataggio esistente per crearne uno nuovo.,保存的数据来自这个游戏的后期版本，无法安全使用。请将游戏更新到最新版本，或删除现有信息以创建新的存档。,セーブデータは、ゲームの古いバージョンのため、正常に使用できません。ゲームを最新バージョンにアップデートするか、既存のセーブデータを削除して新しいデータを作成してください。,"저장된 데이터가 이전 버전 게임의 데이터이므로 안전하게 사용할 수 없습니다. 게임을 최신 버전으로 업데이트하거나, 기존 저장 데이터를 삭제하고 새 데이터를 만드세요.",Os dados salvos são de uma versão posterior deste jogo e não podem ser usados com segurança. Atualize o jogo para a versão mais recente ou exclua os dados salvos para criar um novo jogo.,"Kaydedilen veri, oyunun sonraki bir sürümüne ait ve güvenli bir şekilde kullanılamaz. Oyunu son sürüme güncelle veya yenisini oluşturmak için mevcut kaydı sil.",ข้อมูลที่บันทึกนั้นมาจากเกมเวอร์ชันที่ใหม่กว่านี้ และไม่สามารถใช้ได้อย่างปลอดภัย โปรดอัปเดตเกมเป็นเวอร์ชันล่าสุด หรือลบเซฟเกมที่มีอยู่เพื่อสร้างเซฟใหม่,"Data yang disimpan adalah dari versi sebelumnya dan tidak bisa digunakan secara aman. Update game ke versi terbaru, atau hapus simpanan yang sudah ada untuk membuat yang baru.","Zapisane dane pochodzą z późniejszej wersji gry i nie można z nich bezpiecznie korzystać. Zaktualizuj grę do najnowszej wersji lub usuń istniejący zapis, aby utworzyć nowy.","Збережені дані походять із новішої версії гри й не можуть бути використані. Оновіть гру до останньої версії або видаліть поточне збереження, щоб створити нове.",,Os dados guardados são de uma versão posterior deste jogo e não podem ser usados com segurança. Atualiza o jogo para a versão mais recente ou apaga o jogo guardado existente para criares um novo.,"Išsaugoti vėlesnės šio žaidimo versijos duomenys, todėl jų naudojimas nėra saugus. Atnaujinkite žaidimą iki naujausios versijos arba pašalinkite esamus duomenis, kad galima būtų sukurti naujus."
XTRA/BuildVersion,Text,,Build {0},Version {0},Versión {0},Version {0},Версия {0},Versione {0},第{0}版本,ビルド{0},빌드 {0},Construir {0},Sürüm {0},เวอร์ชัน {0},Build {0},Wersja {0},Версія {0},,Versão {0},Serija {0}
XTRA/PS4Patch201908,Text,,- Added support for Steam level,,,,,,,新ステージ「スチーム」に対応しました。,,,,,,,,,,
XTRA/PS4PatchIce,Text,,- Added support for Ice level,,,,,,,新ステージ「アイス」に対応しました。,,,,,,,,,,
XTRA/NetChat_OnlyMP,Text,,Command only works in multiplayer,Ne fonctionne qu'en multijoueur,El comando solo funciona en modo multijugador,Befehl funktioniert nur im Multiplayer,Команда доступна только в многопользовательской игре.,Il comando è utilizzabile solo in modalità multigiocatore,命令仅在多人游戏中有效,コマンドはマルチプレイヤーでのみ機能します,멀티 플레이어에서만 명령할 수 있습니다,Comando só funciona no multiplayer,"Komut, yalnızca çok oyunculu modda çalışır",คำสั่งนี้ใช้ได้เฉพาะในโหมดเล่นหลายคน,Perintah hanya berfungsi dalam multiplayer,Polecenia działa wyłącznie w trybie wieloosobowym,Команда працює лише у багатокористувацькій грі,,Comando só funciona em multijogador,Ši komanda veikia tik kelių žaidėjų žaidime
XTRA/NetChat_NoMuteMe,Text,,Can't mute self,Impossible de couper son propre micro,No se puede silenciar a uno mismo,Selbst-Stummschaltung nicht möglich,Заглушить себя нельзя.,Non puoi auto-silenziarti,无法让自己静音,自分をミュートすることはできません,스스로 음소거할 수 없음,Sem autossilenciar,Kendi sesini kapatamazsın,ปิดเสียงตัวเองไม่ได้,Tidak bisa mensenyapkan diri sendiri,Nie możesz wyciszyć samego siebie,Заблокувати себе неможливо,,Não podes silenciar-te a ti próprio,Negalima nutildyti
XTRA/NetChat_Muted,Text,,muted,micro coupé,silenciado,Stummschaltung aktiviert,звук выключен,silenziato,已静音,ミュート済み,음소거됨,silenciar,ses kapatıldı,ปิดเสียงอยู่,disenyapkan,Wyciszono,заблоковано,,sem som,nutildytas
XTRA/NetChat_UnMuted,Text,,un-muted,micro activé,desilenciado,Stummschaltung deaktiviert,звук включен,de-silenziato,已取消静音,ミュートを外す,음소거 해제됨,não silenciar,ses açıldı,ยกเลิกการปิดเสียงแล้ว,dibatalsenyapkan,Cofnięto wyciszenie,розблоковано,,com som,nenutildytas
XTRA/NetChat_OnlyHost,Text,,Command only works on a host,Ne fonctionne que sur un hôte,El comando solo funciona con el anfitrión,Befehl funktioniert nur bei einem Host,Команда доступна только хосту.,Il comando è utilizzabile solo da un host,命令仅在主机上有效,コマンドはホストのみに機能します,호스트에서만 명령할 수 있습니다,Comando só funciona no host,"Komut, yalnızca bir kurucuda çalışır",คำสั่งนี้ใช้ได้เฉพาะกับโฮสต์,Perintah hanya berfungsi dalam sebuah host,Polecenia działa wyłącznie w przypadku hosta,Команда працює лише для хазяїна гри,,Comando só funciona num afitrião,Ši komanda veikia tik pagrindiniam žaidėjui
XTRA/NetChat_NoKickMe,Text,,Can't kick self,Impossible de s'expulser soi-même,No se puede expulsar a uno mismo,Selbst-Ausschluss nicht möglich,Удалить себя нельзя.,Non puoi auto-espellerti,不会踢走自己,自分を追放することはできません,스스로 추방할 수 없음,Sem autoexpulsar,Kendini atamazsın,เตะตัวเองไม่ได้,Tidak bisa mengeluarkan diri sendiri,Nie możesz usunąć samego siebie,Вигнати себе неможливо,,Não podes expulsar-te,Negalima išmesti savęs
